date,week,high_temp,low_temp,weather_condition,wind_force
2024-10-05,星期六,15℃, 20℃,中雨,转南风 转<3级
2024-10-04,星期五,14℃, 20℃,小雨,转南风 转<3级
2024-10-03,星期四,15℃, 18℃,小雨,转南风 转<3级
2024-10-02,星期三,13℃, 21℃,阴,转南风 转<3级
2024-10-01,星期二,13℃, 24℃,阴,转微风 转<3级
2024-09-30,星期一,14℃, 21℃,阴,转南风 转<3级
2024-09-29,星期日,16℃, 24℃,阵雨,转南风 转<3级
2024-09-28,星期六,23℃, 30℃,阵雨,转南风 转<3级
2024-09-27,星期五,23℃, 34℃,阵雨,转南风 转<3级
2024-09-26,星期四,22℃, 33℃,晴,转南风 转<3级
2024-09-25,星期三,22℃, 32℃,阴,转北风 转<3级
2024-09-24,星期二,22℃, 30℃,阴,转微风 转<3级
2024-09-23,星期一,20℃, 29℃,晴,转微风 转<3级
2024-09-22,星期日,20℃, 28℃,多云,转微风 转<3级
2024-09-21,星期六,20℃, 30℃,多云,转微风 转<3级
2024-09-20,星期五,20℃, 31℃,晴,转微风 转<3级
2024-09-19,星期四,24℃, 32℃,晴,转微风 转<3级
2024-09-18,星期三,24℃, 33℃,晴,转微风 转<3级
2024-09-17,星期二,22℃, 33℃,晴,转微风 转<3级
2024-09-16,星期一,22℃, 32℃,多云,转微风 转<3级
2024-09-15,星期日,22℃, 29℃,阵雨,转微风 转<3级
2024-09-14,星期六,23℃, 32℃,阵雨,转微风 转<3级
2024-09-13,星期五,23℃, 32℃,阵雨,转微风 转<3级
2024-09-12,星期四,22℃, 31℃,阵雨,转微风 转<3级
2024-09-11,星期三,22℃, 32℃,阵雨,转微风 转<3级
2024-09-10,星期二,23℃, 32℃,阵雨,转微风 转<3级
2024-09-09,星期一,24℃, 35℃,大雨,转微风 转<3级
2024-09-08,星期日,24℃, 34℃,阵雨,转微风 转<3级
2024-09-07,星期六,24℃, 36℃,晴,转微风 转<3级
2024-09-06,星期五,22℃, 36℃,阵雨,转微风 转<3级
2024-11-03,星期日,14℃, 20℃,阴,转北风 转<3级
2024-11-02,星期六,13℃, 23℃,多云,转北风 转<3级
2024-11-01,星期五,13℃, 23℃,阴,转北风 转<3级
2024-10-31,星期四,15℃, 19℃,阴,转南风 转<3级
2024-10-30,星期三,16℃, 21℃,小雨,转南风 转<3级
2024-10-29,星期二,15℃, 19℃,小雨,转南风 转3-4级
2024-10-28,星期一,12℃, 25℃,阴,转南风 转<3级
2024-10-27,星期日,11℃, 24℃,晴,转北风 转<3级
2024-10-26,星期六,12℃, 18℃,晴,转北风 转<3级
2024-10-25,星期五,16℃, 23℃,小雨,转南风 转<3级
2024-10-24,星期四,17℃, 21℃,小雨,转南风 转<3级
2024-10-23,星期三,15℃, 24℃,阴,转南风 转<3级
2024-10-22,星期二,12℃, 24℃,晴,转北风 转<3级
